Tweet,Sentiment
is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,Negative
@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,Negative
my whole body feels itchy and like its on fire ,Negative
"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ",Negative
@Kwesidei not the whole crew ,Negative
Need a hug ,Negative
"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?",Negative
@Tatiana_K nope they didn't have it ,Negative
@twittera que me muera ? ,Negative
spring break in plain city... it's snowing ,Negative
I just re-pierced my ears ,Negative
@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .,Negative
"@octolinz16 It it counts, idk why I did either. you never talk to me anymore ",Negative
"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.",Negative
@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!,Negative
Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?,Negative
about to file taxes ,Negative
@LettyA ahh ive always wanted to see rent  love the soundtrack!!,Negative
@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? ,Negative
@alydesigns i was out most of the day so didn't get much done ,Negative
"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* ",Negative
@angry_barista I baked you a cake but I ated it ,Negative
this week is not going as i had hoped ,Negative
blagh class at 8 tomorrow ,Negative
I hate when I have to call and wake people up ,Negative
I LOVE @Health4UandPets u guys r the best!! ,Positive
im meeting up with one of my besties tonight! Cant wait!!  - GIRL TALK!!,Positive
"@DaRealSunisaKim Thanks for the Twitter add, Sunisa! I got to meet you once at a HIN show here in the DC area and you were a sweetheart. ",Positive
"Being sick can be really cheap when it hurts too much to eat real food  Plus, your friends make you soup",Positive
@LovesBrooklyn2 he has that effect on everyone ,Positive
@ProductOfFear You can tell him that I just burst out laughing really loud because of that  Thanks for making me come out of my sulk!,Positive
@r_keith_hill Thans for your response. Ihad already find this answer ,Positive
"@KeepinUpWKris I am so jealous, hope you had a great time in vegas! how did you like the ACM's?! LOVE YOUR SHOW!! ",Positive
"@tommcfly ah, congrats mr fletcher for finally joining twitter ",Positive
@e4VoIP I RESPONDED  Stupid cat is helping me type. Forgive errors ,Positive
crazy day of school. there for 10 hours straiiight. about to watch the hills. @spencerpratt told me too! ha. happy birthday JB! ,Positive
@naughtyhaughty HOW DID I FORGET ABOUT TWO AND A HALF MEN?!?!? I LOVE THAT SHOW!!! ,Positive
"@nileyjileyluver Haha, don't worry! You'll get the hang of it! ",Positive
"@soundwav2010 At least I won't be the only one feeling lost! This may cause me many later than usual nights, already addicting ",Positive
@LutheranLucciol Make sure you DM me if you post a link to that video! &lt;LOL&gt;So I don't miss it   Better get permission and blessing first?,Positive
Just added tweetie to my new iPhone ,Positive
@michellardi i really don't know. i think its Globe!  yeah! sana gumaling na ko para alam ko na din kung makakasama ako! ),Positive
@nicolerichie: your picture is very sweet ,Positive
"Catching Up on Emails, RSS and Random BACN. Then I'm cutting out early tonight (11:30PM) to have Dinner with @lauraw ",Positive
"Dancing around the room in Pjs, jamming to my ipod. Getting dizzy. Well twitter, you asked! ",Positive
Didn't place in the Peeps contest but thanks for voting anyways. ,Positive
Going to bed so goodnight everyone  and sweet dreams  http://twitpic.com/2y2e0,Positive
@LittleLumen walking over to put the deposit down tomorrow ,Positive
"is now followinq @DAChesterFrench , you shud do tha same ",Positive
@LordPov Are you meant to add on the back of that &quot;twittering from a toilet cubicle somewhere&quot;? ,Positive
